# conflictIndex, flightIndex1, flightIndex2, lat1, lon1, time1, lat2, lon2, time2
178, 234, 234, 33.761982, 32.352386, 795.000000, 33.761982, 32.352386, 815.000000
179, 225, 208, 33.692028, 32.588928, 771.000000, 33.692028, 32.588928, 747.000000
180, 234, 90, 33.672035, 32.482380, 796.000000, 33.672035, 32.482380, 816.000000
181, 87, 225, 33.330360, 33.096111, 807.000000, 33.330360, 33.096111, 751.000000
182, 45, 21, 33.942493, -118.408073, 90.000000, 33.942493, -118.408073, 35.000000
183, 49, 45, 34.059128, -118.310738, 99.000000, 34.065338, -118.309647, 91.000000
184, 110, 45, 34.067055, -118.317482, 98.000000, 34.065338, -118.309647, 91.000000
185, 172, 21, 33.942493, -118.408073, 72.000000, 33.942493, -118.408073, 35.000000
186, 173, 21, 33.942493, -118.408073, 76.000000, 33.942493, -118.408073, 35.000000
187, 173, 45, 34.060707, -118.304626, 77.000000, 34.065338, -118.309647, 91.000000
188, 200, 21, 33.942493, -118.408073, 72.000000, 33.942493, -118.408073, 35.000000
189, 200, 45, 34.062733, -118.315308, 73.000000, 34.065338, -118.309647, 91.000000
190, 61, 45, 33.942493, -118.408073, 123.000000, 33.942493, -118.408073, 90.000000
191, 62, 45, 33.942493, -118.408073, 126.000000, 33.942493, -118.408073, 90.000000
192, 62, 0, 34.175934, -118.186302, 128.000000, 34.173752, -118.184448, 187.000000
193, 105, 45, 33.942493, -118.408073, 127.000000, 33.942493, -118.408073, 90.000000
194, 381, 430, 33.942493, -118.408073, 1201.000000, 33.942493, -118.408073, 1215.000000
195, 155, 124, 34.061260, -118.300682, 1340.000000, 34.064320, -118.303398, 1361.000000
196, 127, 124, 33.942493, -118.408073, 1384.000000, 33.942493, -118.408073, 1360.000000
197, 542, 124, 33.942493, -118.408073, 1398.000000, 33.942493, -118.408073, 1360.000000
198, 677, 124, 33.942493, -118.408073, 1401.000000, 33.942493, -118.408073, 1360.000000
199, 399, 410, 34.266273, -92.007919, 1098.000000, 34.266273, -92.007919, 1070.000000
200, 731, 760, 33.800442, -85.731606, 1344.000000, 33.800442, -85.731606, 1370.000000
201, 84, 211, 33.965832, -75.269852, 320.000000, 33.965832, -75.269852, 309.000000
202, 225, 225, 34.229622, 31.813719, 765.000000, 34.229622, 31.813719, 741.000000
203, 87, 225, 34.229622, 31.813719, 797.000000, 34.229622, 31.813719, 741.000000
204, 234, 234, 34.119904, 31.826075, 791.000000, 34.119904, 31.826075, 811.000000
205, 225, 208, 34.050976, 32.073811, 767.000000, 34.050976, 32.073811, 743.000000
206, 87, 208, 34.140362, 31.944057, 798.000000, 34.140362, 31.944057, 742.000000
207, 234, 90, 33.941231, 32.089985, 793.000000, 33.941231, 32.089985, 813.000000
208, 430, 613, 34.482632, -117.964378, 1255.000000, 34.482632, -117.964378, 1304.000000
209, 613, 512, 34.781048, -117.716118, 1301.000000, 34.781048, -117.716118, 1342.000000
210, 512, 613, 34.681728, -117.799004, 1343.000000, 34.681728, -117.799004, 1302.000000
211, 226, 185, 34.777664, -86.488335, 245.000000, 34.777664, -86.488335, 274.000000
212, 731, 760, 34.306278, -84.929871, 1350.000000, 34.306278, -84.929871, 1376.000000
213, 257, 425, 34.297935, -83.552681, 527.000000, 34.299713, -83.557365, 479.000000
214, 257, 0, 34.766495, -82.917587, 532.000000, 34.770363, -82.923294, 484.000000
215, 38, 0, 34.353069, -76.154068, 122.000000, 34.353069, -76.154068, 84.000000
216, 84, 211, 34.435349, -74.892105, 324.000000, 34.435349, -74.892105, 313.000000
217, 579, 0, 34.315678, -59.597321, 1042.000000, 34.322834, -59.595798, 1060.000000
218, 234, 234, 34.741192, 30.889263, 784.000000, 34.741192, 30.889263, 804.000000
219, 225, 208, 34.674217, 31.154896, 760.000000, 34.674217, 31.154896, 736.000000
220, 87, 208, 34.674217, 31.154896, 792.000000, 34.674217, 31.154896, 736.000000
221, 234, 90, 34.564095, 31.158358, 786.000000, 34.564095, 31.158358, 806.000000
222, 87, 225, 34.318722, 31.682543, 796.000000, 34.318722, 31.682543, 740.000000
223, 90, 234, 34.386765, 31.426523, 808.000000, 34.386765, 31.426523, 788.000000
224, 674, 675, 35.081699, -117.463753, 1566.000000, 35.076599, -117.468033, 1571.000000
225, 357, 399, 34.952290, -91.452133, 1064.000000, 34.952290, -91.452133, 1092.000000
226, 88, 0, 34.917690, -86.197334, 276.000000, 34.917690, -86.197334, 247.000000
227, 226, 88, 34.987450, -86.051460, 248.000000, 34.987450, -86.051460, 277.000000
228, 731, 760, 34.887054, -83.981194, 1357.000000, 34.887054, -83.981194, 1383.000000
229, 760, 752, 35.051807, -83.705536, 1385.000000, 35.051807, -83.705536, 1359.000000
230, 257, 425, 35.140079, -82.401215, 536.000000, 35.143185, -82.407394, 488.000000
231, 755, 781, 35.172314, -82.088654, 1035.000000, 35.172314, -82.088654, 1038.000000
232, 337, 728, 35.213741, -80.949066, 988.000000, 35.213741, -80.949066, 954.000000
233, 337, 945, 35.213741, -80.949066, 988.000000, 35.213741, -80.949066, 1036.000000
234, 301, 945, 35.213741, -80.949066, 1023.000000, 35.213741, -80.949066, 1036.000000
235, 372, 945, 35.213741, -80.949066, 1059.000000, 35.213741, -80.949066, 1036.000000
236, 419, 870, 35.213741, -80.949066, 1129.000000, 35.213741, -80.949066, 1115.000000
237, 427, 945, 35.213741, -80.949066, 1115.000000, 35.213741, -80.949066, 1059.000000
238, 870, 870, 35.213741, -80.949066, 1136.000000, 35.213741, -80.949066, 1115.000000
239, 84, 211, 35.024166, -74.410385, 329.000000, 35.024166, -74.410385, 318.000000
240, 208, 234, 35.208130, 30.356293, 730.000000, 35.208130, 30.356293, 754.000000
241, 234, 90, 35.186077, 30.214340, 779.000000, 35.186077, 30.214340, 799.000000
242, 87, 234, 35.208130, 30.356293, 786.000000, 35.208130, 30.356293, 754.000000
243, 225, 208, 35.030121, 30.623365, 756.000000, 35.030121, 30.623365, 732.000000
244, 87, 208, 35.119011, 30.489868, 787.000000, 35.119011, 30.489868, 731.000000
245, 234, 90, 34.919079, 30.619869, 782.000000, 34.919079, 30.619869, 802.000000
246, 224, 250, 35.196156, 33.420242, 1372.000000, 35.196156, 33.420242, 1385.000000
247, 201, 174, 35.552261, -116.808167, 67.000000, 35.552261, -116.808167, 50.000000
248, 88, 0, 35.396305, -85.163971, 283.000000, 35.396305, -85.163971, 254.000000
249, 226, 88, 35.462719, -85.013412, 255.000000, 35.462719, -85.013412, 284.000000
250, 257, 944, 35.326870, -82.138832, 538.000000, 35.329464, -82.145676, 490.000000
251, 755, 0, 35.719532, -81.156967, 1042.000000, 35.719532, -81.156967, 1045.000000
252, 84, 0, 35.731125, -73.823891, 335.000000, 35.731125, -73.823891, 324.000000
