conflictIndex,flight1,flight2,lat1,lat2,lon1,lon2,time1,time2
4958,347,406,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,1030.0
4959,347,421,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,1015.0
4960,347,451,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,970.0
4961,347,778,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,937.0
4962,347,812,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,1007.0
4963,348,356,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,507.0,510.0
4964,348,362,58.102962493896484,58.096290588378906,-7.232122898101807,-7.052504539489746,613.0,650.0
4965,348,362,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,1026.0
4966,348,364,48.71012496948242,48.717594146728516,-68.74237060546875,-68.86360168457031,898.0,952.0
4967,348,365,58.102962493896484,58.10127639770508,-7.232122898101807,-7.727463722229004,613.0,637.0
4968,348,368,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,507.0,511.0
4969,348,371,48.672637939453125,48.664466857910156,7.288802146911621,7.326908111572266,518.0,530.0
4970,348,371,51.78364562988281,51.78306198120117,3.8221702575683594,3.9704089164733887,546.0,558.0
4971,348,371,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,996.0
4972,348,373,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,986.0
4973,348,374,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,507.0,547.0
4974,348,395,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,1014.0
4975,348,400,48.672637939453125,48.664466857910156,7.288802146911621,7.326908111572266,518.0,555.0
4976,348,400,51.78364562988281,51.78306198120117,3.8221702575683594,3.9704089164733887,546.0,583.0
4977,348,405,60.42817687988281,60.42945861816406,-26.0745849609375,-26.08432960510254,688.0,733.0
4978,348,405,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,1027.0
4979,348,421,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,1015.0
4980,348,451,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,970.0
4981,348,577,55.04785919189453,55.05185317993164,-0.4462265372276306,-0.4514080882072449,576.0,631.0
4982,348,778,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,937.0
4983,348,812,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,979.0,1007.0
4984,349,351,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,531.0,540.0
4985,349,356,58.12221145629883,58.1151008605957,-59.23564147949219,-58.87491226196289,825.0,817.0
4986,349,359,51.826900482177734,51.83283615112305,-74.77644348144531,-74.47338104248047,910.0,912.0
4987,349,359,48.69491958618164,48.695030212402344,-79.93724822998047,-79.71826934814453,945.0,948.0
4988,349,360,50.03330612182617,50.03330612182617,8.570455551147461,8.570455551147461,531.0,517.0
4989,349,367,51.826900482177734,51.83427429199219,-74.77644348144531,-74.53697204589844,910.0,928.0
4990,349,367,44.23732376098633,44.244720458984375,-85.6347427368164,-85.63789367675781,990.0,1007.0
